Suntimes Calendars;https://f-droid.org/pt_BR/packages/com.forrestguice.suntimescalendars/;https://f-droid.org/repo/com.forrestguice.suntimescalendars_19.apk;Esta versÃ£o requer o Android 4.0 ou mais atual.;None;None;0.6.1;executar serviÃ§o em primeiro plano <-> Ler detalhes e eventos da agenda <-> ler estatÃ­sticas de sincronizaÃ§Ã£o <-> adicionar ou modificar compromissos e enviar e-mail para os convidados sem o conhecimento dos donos <-> ativar e desativar sincronizaÃ§Ã£o <-> suntimes.permission.READ_CALCULATOR <-> 
Escaneador de CÃ³digo de Barras;https://f-droid.org/pt_BR/packages/com.atharok.barcodescanner/;https://f-droid.org/repo/com.atharok.barcodescanner_43.apk;Esta versÃ£o requer o Android 5.0 ou mais atual.;None;None;1.24.1;acessar localizaÃ§Ã£o precisa apenas em primeiro plano <-> ver conexÃµes Wi-Fi <-> tirar fotos e gravar vÃ­deos <-> conectar e desconectar do Wi-Fi <-> ter acesso total Ã  rede <-> ler seus contatos <-> controlar vibraÃ§Ã£o <-> com.atharok.barcodescanner.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION <-> 
mLauncher - lanÃ§ador mÃ­nimo e sem confusÃ£o;https://f-droid.org/pt_BR/packages/app.mlauncher/;https://f-droid.org/repo/app.mlauncher_168.apk;Esta versÃ£o requer o Android 6.0 ou mais atual.;None;None;1.6.8;ver conexÃµes de rede <-> expandir/recolher barra de status <-> executar serviÃ§o em primeiro plano <-> android.permission.PACKAGE_USAGE_STATS <-> consultar todos os pacotes <-> executar na inicializaÃ§Ã£o <-> reordenar os aplicativos em execuÃ§Ã£o <-> solicitar exclusÃ£o de pacotes <-> usar hardware de biometria <-> usar hardware de impressÃ£o digital <-> impedir modo de inatividade do telefone <-> app.mlauncher.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION <-> definir um alarme <-> 
Nextcloud Deck;https://f-droid.org/en/packages/it.niedermann.nextcloud.deck/;https://f-droid.org/repo/it.niedermann.nextcloud.deck_1024001.apk;This version requires Android 7.0 or newer.;https://github.com/stefan-niedermann/nextcloud-deck;https://github.com/stefan-niedermann/nextcloud-deck/issues;1.24.1;view network connections <-> take pictures and videos <-> run foreground service <-> find accounts on the device <-> have full network access <-> read your contacts <-> read the contents of your shared storage <-> read audio files from shared storage <-> read image files from shared storage <-> run at startup <-> control vibration <-> prevent phone from sleeping <-> modify or delete the contents of your shared storage <-> it.niedermann.nextcloud.deck.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION <-> 
MoneyBuster;https://f-droid.org/en/packages/net.eneiluj.moneybuster/;https://f-droid.org/repo/net.eneiluj.moneybuster_40.apk;This version requires Android 8.0 or newer.;https://gitlab.com/eneiluj/moneybuster;https://gitlab.com/eneiluj/moneybuster/issues;0.1.20;view network connections <-> take pictures and videos <-> run foreground service <-> find accounts on the device <-> have full network access <-> show notifications <-> run at startup <-> control vibration <-> prevent phone from sleeping <-> net.eneiluj.moneybuster.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION <-> 
Nextcloud Tables;https://f-droid.org/en/packages/it.niedermann.nextcloud.tables/;https://f-droid.org/repo/it.niedermann.nextcloud.tables_1001003.apk;This version requires Android 8.0 or newer.;https://github.com/stefan-niedermann/nextcloud-tables;https://github.com/stefan-niedermann/nextcloud-tables/issues;1.1.3;view network connections <-> change network connectivity <-> run foreground service <-> find accounts on the device <-> have full network access <-> read your contacts <-> run at startup <-> prevent phone from sleeping <-> it.niedermann.nextcloud.tables.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION <-> 
Grocy: Self-hosted Grocery Management;https://f-droid.org/en/packages/xyz.zedler.patrick.grocy/;https://f-droid.org/repo/xyz.zedler.patrick.grocy_58.apk;This version requires Android 5.0 or newer.;https://github.com/patzly/grocy-android;https://github.com/patzly/grocy-android/issues;3.6.0;view network connections <-> take pictures and videos <-> run foreground service <-> have full network access <-> control Near Field Communication <-> show notifications <-> read the contents of your shared storage <-> run at startup <-> control vibration <-> prevent phone from sleeping <-> xyz.zedler.patrick.grocy.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION <-> 
Morse;https://f-droid.org/en/packages/rocks.poopjournal.morse/;https://f-droid.org/repo/rocks.poopjournal.morse_12.apk;This version requires Android 4.4 or newer.;https://github.com/Crazy-Marvin/Morse;https://github.com/Crazy-Marvin/Morse/issues;2.1;take pictures and videos <-> prevent phone from sleeping <-> rocks.poopjournal.morse.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION <-> 
Al-Azan - Prayer Times;https://f-droid.org/en/packages/com.github.meypod.al_azan/;https://f-droid.org/repo/com.github.meypod.al_azan_77004.apk;This version requires Android 7.0 or newer.;https://github.com/meypod/al-azan;https://github.com/meypod/al-azan/issues;1.17.10;access approximate location only in the foreground <-> access precise location only in the foreground <-> view network connections <-> access Do Not Disturb <-> view Wi-Fi connections <-> android.permission.BROADCAST_CLOSE_SYSTEM_DIALOGS <-> run foreground service <-> run foreground service with the type "mediaPlayback" <-> have full network access <-> show notifications <-> read phone status and identity <-> run at startup <-> ask to ignore battery optimizations <-> Schedule precisely timed actions <-> display notifications as full screen activities on a locked device <-> control vibration <-> prevent phone from sleeping <-> com.github.meypod.al_azan.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION <-> 
Catima â Loyalty Card Wallet;https://f-droid.org/en/packages/me.hackerchick.catima/;https://f-droid.org/repo/me.hackerchick.catima_138.apk;This version requires Android 5.0 or newer.;https://github.com/CatimaLoyalty/Android;https://github.com/CatimaLoyalty/Android/issues;2.31.1;take pictures and videos <-> read the contents of your shared storage <-> me.hackerchick.catima.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION <-> 
